Cust#,Ship-to,Make,Model,Serial,Equip#,Fleet,Job#,Inv-Date,Meter,Type,Parts*,Labor*,Sublet*,Delv/Frt*,Misc*,Taxes*,Total*,Work Performed
14080,1,,,,0,,S736127,3092015,99999,S90,0.00,270.00,0.00,0.00,0.00,0.00,270.00,"TRAINING FOR DANNY WILLIAMS, TODD DODSON AND TOMMY INGRAM FOR U.S. SMOKELESS"
14080,1,,,,0,,S924542,3122015,99999,S37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***                          *****                           ***                            *                           * *                          *   *                         *     *                        *       *                     ***************                     *     VOID    *                     ***************
14080,1,,,,0,,S736015,3162015,99999,B06,0.00,618.00,0.00,0.00,24.72,59.45,702.17,WEEKLY WATERING ON BATTERIES.
14080,1,,,,0,,S732974,3212015,99999,B06,0.00,540.00,0.00,0.00,21.60,51.95,613.55,WEEKLY WATERING OF BATTERIES. PERFORMED ALL.
14080,1,,,,0,,S736042,3282015,99999,B06,0.00,450.00,0.00,0.00,18.00,43.29,511.29,WEEKLY WATERING ON ALL BATTERIES.
14080,1,,,,0,,S732986,4042015,99999,B06,0.00,630.00,0.00,0.00,25.20,60.61,715.81,WEEKLY WATERING ON ALL BATTERIES.
14080,1,,,,0,,S736060,4082015,99999,B06,0.00,270.00,0.00,0.00,10.80,25.97,306.77,"SURVEY CHARGERS FOR FUTURE USE: CHARGER #22 - POWER FACTOR, MODEL#3PF18B-965EMS, SN#44703: CHECKED ALL WIRING AND CONNECTIONS, TESTED POS & NEG FUSES, TESTED CONTACT & INTERNAL COMPONENTS. TESTED CHARGER, PUTTING OUT 106 AMPS. METER READ 110 AMPS. CHARGER IS NOISY, WHICH IS THE RESULT OF TRANSFORMER AGE. OVERALL, CHARGER LOOKS GOOD BUT NOT SURE HOW LONG IT WILL LAST & HAS ODOR. CHARGER #24 - POWER FACTOR, MODEL#3PF18B-965EMS, SN#67081: CHECKED ALL WIRING & CONNECTIONS. TESTED POS AND NEG FUSES, TESTED CONTACT & INTERNAL COMPONENTS. TESTED CHARGER, PUTTING OUT 117 AMPS. METER READ 116.8 AMPS. CHARGER IS RATED FOR 128 AMPS. CHARGER SEEMS TO WORK WELL & NO APPARENT ISSUES FOUND. CHARGER #14 - LIFEGUARD, MODEL#6-450SCR-1, SN#7100339: INITIAL SURVEY OF CHARGER FOUND IT IS ONLY A 12V CHARGER. WILL NEED UNIT AND BATTERY TO DO COMPLETE SURVEY. CHARGER #58 - POWER FACTOR, MODEL#3PFE24B-600EMS, SN#112906: INITIAL SURVEY REVEALED IT IS ONLY A 48V CHARGER. WILL NEED UNIT AND BATTERY TO TEST FURTHER. * SUGGESTIONS: CHARGER #24 - BE MOVED BACK IN PROCESSING AND USED ON TRUCK #77. CHARGER #22 - BE USED IN MAINTENANCE FOR TRUCK #87. CHARGER WILL NEED TO BE MONITORED FOR A SHORT WHILE UNTIL ODOR STOPS (MOST LIKELY DUST BURNING OFF COMPONENTS). CHARGER #14 - LOCATE UNIT AND BATTERY, TEST FURTHER. CHARGER #58 - DO NOT TEST FURTHER. ONLY HAVE (1) 48V TRUCK IN FLEET AND ANY OF THE LIFEPLUS WILL CHARGE 48V."
14080,1,,,,0,,S736363,4152015,99999,SP9,0.00,98.00,0.00,0.00,3.92,0.00,101.92,MEETING ABOUT DOING A MOCK AUDIT
14080,1,,,,0,,S736078,4162015,99999,B37,0.00,93.31,0.00,0.00,0.00,0.00,93.31,"BATTERIES OVER-FLOWING AND SOME GETTING HOT. * WENT TO CUSTOMERS LOCATION. IDENTIFIED SEVERAL BATTERIES HAD BOILED OVER. ALSO DETECTED (2) BATTERIES GETTING EXTREMELY HOT. CALLED IN FOR ASSISTANCE FROM MIKE MILLER. MIKE MET ME AT CUSTOMERS LOCATION TO HELP INVESTIGATE ROOT CAUSE OF OVER FLOWING AND HEAT ISSUES. WE IDENTIFIED THAT SERVICE HAD ALSO BEEN WATERING BATTERIES, THUS CAUSING OVER-FLOW ISSUES. (2) BATTERIES THAT HAVE BEEN GETTING HOT WILL NEED TO COME TO THE SERVICE CENTER FOR COMPLETE CHECKOUTS. CUSTOMER WANTS REPLACEMENT BATTERIES TO RENT BEFORE WE PULL ANY OUT FOR CHECKOUT. CLEANED BATTERY OVER-FLOW ON FLOOR IN SEVERAL LOCATIONS. MET WITH RENTAL DEPT TO LOCATE REPLACEMENT BATTERIES."
14080,1,,,,0,,S736375,4202015,99999,C42,0.00,90.00,0.00,0.00,5.00,8.79,103.79,CHECKED WATER LEVEL IN ALL RICOS.
14080,1,,,,0,,S736387,4272015,99999,C42,0.00,135.00,0.00,0.00,5.40,12.99,153.39,CHECKED WATER IN MOIST PROCEDURE. ALL RICOS AND LIFTS.
14080,1,,,,0,,S736392,5052015,99999,C42,0.00,180.00,0.00,0.00,7.20,17.32,204.52,"MET WITH CHRIS, WENT OVER LIST OF TRUCKS TO MAKE SURE ALL NUMBERS AND STAT PLATES MATCH. WALKED THRU AND INSPECTED SEVERAL LIFTS."
14080,1,,,,0,,S736725,5112015,99999,B06,0.00,630.00,0.00,0.00,25.20,60.61,715.81,WENT TO CUSTOMERS LOCATION AND WATERED ALL BATTERIES.
14080,1,,,,0,,S736933,5132015,9999,C42,0.00,450.00,0.00,0.00,18.00,43.29,511.29,SAFTEY AUDIT 5/12 = 5 HRS 5/13 = 2 HRS
14080,1,,,,0,,S736912,5162015,99999,C42,0.00,90.00,0.00,0.00,5.00,8.79,103.79,HAVE 3 DRIVE TIRES PRESSED FOR RICO'S TI KEEP IN STOCK.
14080,1,,,,0,,S736915,5202015,99999,C42,0.00,270.00,0.00,0.00,10.80,25.97,306.77,HELPED GARY - PULLED 3 CHARGERS OFF THE WALL. CLEANED AND INSTALLED NEW FANS. INSTALLED BACK ON THE WALL # 10 # 14 AND # 15
14080,1,,,,0,,S737859,5272015,9999,S37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,duplicate ticket.                           ***                          *****                           ***                            *                           * *                          *   *                         *     *                        *       *                     ***************                     *     VOID    *                     ***************
14080,1,,,,0,,S736720,5292015,99999,B37,0.00,251.62,0.00,0.00,0.00,0.00,251.62,MONTHLY COURTESTY CALLS - MAY 2015.
14080,1,,,,0,,S736788,6152015,99999,B06,0.00,855.00,0.00,0.00,34.20,82.25,971.45,PERFORMED MONTHLY WATERING ON ALL BATTERIES IN LIFTS.
14080,1,,,,0,,S736767,6262015,99999,B37,0.00,175.04,0.00,0.00,0.00,0.00,175.04,MONTHLY COURTESY CALLS - JUNE 2015
14080,1,,,,0,,S736961,6302015,9999,C42,0.00,90.00,0.00,0.00,5.00,8.79,103.79,READ AND CHECKED DATA ON #101-CHECKED CODE 9400 ON #21- INSTALLED CHRIS HATFIELD ON 23A
14080,1,,,,0,,S736972,7022015,99999,C42,0.00,270.00,0.00,0.00,10.80,25.97,306.77,CHECKED OPERATOR CODES AND INSTALLED NEW CODES IN BOTH ELECTRIC HYSTER PALLET JACKS
14080,1,,,,0,,S736974,7052015,99999,C42,0.00,225.00,0.00,0.00,9.00,21.65,255.65,"CHANGED CODE 1390 TO 9132 (MICHELLE GROVES) ON UNITS 101, 68, 56, 50, 06, 21 AND 12."
14080,1,,,,0,,S736982,7142015,9999,C42,0.00,135.00,0.00,0.00,5.40,12.99,153.39,DOWNLOADED NEW PERSON KAREN NELSON TO ALL RICOS-TOTAL OF 12
14080,1,,,,0,,S736988,7162015,99999,S94,0.00,44.64,0.00,0.00,0.00,0.00,44.64,CLEANED AND MOVED EQUIPMENT IN THE SHOP AT U.S. SMOKELESS
14080,1,,,,0,,S736991,7202015,9999,C42,0.00,630.00,0.00,0.00,25.20,60.61,715.81,"CHECKED WATER IN UNITS - ADDED WATER TO 10, 102, 83, 109, 57, 68 AND 65."
14080,1,,,,0,,S810025,8242015,9999,C42,0.00,90.00,0.00,0.00,5.00,8.79,103.79,CHANGED OPERATORS NAMES AND NUMBERS IN ALL SHIPPING LIFTS.
14080,1,,,,0,,S810733,9052015,99999,B06,0.00,945.00,0.00,0.00,37.80,90.91,1073.71,"PERFORMED MONTHLY WATERING ON BATTERIES. STILL HAVE SOME LEFT TO WATER, WAS UNABLE TO COMPLETE."
14080,1,,,,0,,S810742,9122015,99999,B06,0.00,337.50,0.00,0.00,13.50,32.47,383.47,COMPLETED MONTHLY WATERING OF BATTERIES.
14080,1,,,,0,,S810730,9172015,99999,B37,0.00,21.88,0.00,0.00,0.00,0.00,21.88,MONTHLY COURTESY CALLS - SEPTEMBER 2015 TALKED WITH JIMMY ABOUT PM SERVICE AND WASHES. DISCUSSED WATERING AND CHARGING.
14080,1,,,,0,,S740402,10122015,99999,B06,0.00,135.00,0.00,0.00,5.40,12.99,153.39,WATERED ALL RICO UNITS.
14080,1,,,,0,,S740411,10192015,99999,B06,0.00,675.00,0.00,0.00,27.00,64.94,766.94,PERFORMED MONTHLY WATERING ON BATTERIES.
14080,1,,,,0,,S740426,10272015,99999,B06,0.00,270.00,0.00,0.00,10.80,25.97,306.77,WATER RICO BATTERIES. 1.5-HRS.
14080,1,,,,0,,S809784,10292015,99999,C42,0.00,180.00,0.00,0.00,7.20,17.32,204.52,"PUT IN CODE 3812 ON RICOS 1, 10, 66, 67, 74, 83, 102, 103, 107 AND HYSTER 57, 65, 77 AND 109"
14080,1,,,,0,,S739711,11032015,99999,C42,0.00,360.00,0.00,0.00,14.40,34.63,409.03,INSTALLED CODE 3816 INTO ALL PROCESSING UNITS (10 RICOS AND 4 HYSTERS)
14080,1,,,,0,,S811069,11032015,99999,B06,0.00,180.00,0.00,0.00,7.20,17.32,204.52,WENT TO CUSTOMER LOCATION AND WATERED RICO UNITS. 2.0-HRS.
14080,1,,,,0,,S740448,11092015,99999,B06,0.00,135.00,0.00,0.00,5.40,12.99,153.39,WATERED RICO BATTERIES HRS. = 1.5
14080,1,,,,0,,S742266,11132015,99999,C42,0.00,180.00,0.00,0.00,7.20,17.32,204.52,CLEANED CHOP FOR SAFETY INSPECTION ************************************************************ ************** REFERENCE INVOICE S739720-N ***************** ************************************************************ CREDIT AND REBILL TO CUSTOMER BILL PER STEVE DUNN ************************************************************ ************** REFERENCE INVOICE S742233-N ***************** ************************************************************ CREDIT AND REBILL TO CUSTOMER BILL PER STEVE DUNN
14080,1,,,,0,,S740452,11172015,99999,B06,0.00,135.00,0.00,0.00,5.40,12.99,153.39,WATERED RICO BATTERIES
14080,1,,,,0,,S740470,11212015,99999,B06,0.00,810.00,0.00,0.00,32.40,77.92,920.32,WENT TO CUSTOMER LOCATION AND WATERED ALL BATTERIES. BATTERIES ARE EXTREMELY DRY. RECOMMEND WATERING ON TWO-THREE WEEK SCHEDULE. SOME DEPARTMENTS WERE OPERATING MAKING IT DIFFICULT TO ACCESS UNITS.
14080,1,,,,0,,S811093,11302015,99999,B06,0.00,135.00,0.00,0.00,5.40,12.99,153.39,WENT TO CUSTOMER LOCATION AND WATERED RICCO BATTERIES.
14080,1,,,,0,,S741911,12072015,99999,B06,0.00,225.00,0.00,0.00,9.00,21.65,255.65,WENT TO CUSTOMER LOCATION. LOCATED UNITS. MOVED TWO UNITS TO WATERING LOCATION. MOVED UNITS BACK TO CHARGING STATION AFTER WATERING. WATERED OTHER UNITS.
14080,1,,,,0,,S739757,12092015,99999,C42,0.00,135.00,0.00,0.00,5.40,12.99,153.39,FLAT TIRE ON GONDOLA-REMOVED WHEEL AND FIXED FLAT-GREASED BOTH SIDES AND ADDED AIR TO OTHER SIDE OF WHEEL-AIR PRESSURE 42PSI COLD.
14080,1,,,,0,,S744313,12192015,99999,B06,0.00,945.00,0.00,0.00,37.80,90.91,1073.71,WENT TO CUSTOMER LOCATION AND WATERED ALL BATTERIES.
14080,1,,,,0,,S744337,1072016,99999,B06,0.00,135.00,0.00,0.00,5.40,12.99,153.39,WENT TO CUSTOMER LOCATION AND WATERED ALL RICO BATTERIES.
14080,1,,,,0,,S744346,1112016,99999,B06,0.00,180.00,0.00,0.00,7.20,17.32,204.52,WENT TO CUSTOMER LOCATION AND WATERED ALL RICO BATTERIES.
14080,1,,,,0,,S744367,1162016,99999,B06,0.00,1012.50,0.00,0.00,40.50,97.40,1150.40,WENT TO CUSTOMER LOCATION AND WATERED ALL BATTERIES.
14080,1,,,,0,,S508819,1202016,99999,S37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
14080,1,,,,0,,S739783,1252016,99999,C42,0.00,90.00,0.00,0.00,5.00,8.79,103.79,"INSTALLED CODE (ALEX COMPTON - 2016) INTO ALL PACKING UNITS (PK15A, PK40, PK41A, 4 AND L2)"
14080,1,,,,0,,S741937,1282016,99999,B06,0.00,180.00,0.00,0.00,7.20,17.32,204.52,WENT TO CUSTOMER LOCATION AND WATERED RICCO UNITS.
